order_id,order_total,tax_amount,discount_amount,order_status
1001,240.03,12.18,3.35,delivered
1002,251.39,19.30,6.33,shipped
1003,111.68,7.28,2.98,delivered
1004,211.21,11.96,0.00,delivered
1005,46.98,3.48,0.00,shipped
1006,92.42,7.27,0.00,shipped
1007,74.50,5.62,0.00,delivered
1008,267.57,17.68,0.00,delivered
1009,213.37,15.98,0.00,pending
1010,221.09,15.73,3.42,shipped
1011,69.34,3.95,4.17,delivered
1012,156.27,9.55,4.00,refunded
1013,242.65,16.57,10.94,shipped
1014,160.73,12.81,0.00,delivered
1015,253.81,19.11,0.00,shipped
1016,54.79,3.26,3.16,refunded
1017,312.29,18.56,0.00,delivered
1018,323.94,20.66,3.70,delivered
1019,125.14,8.45,0.00,delivered
1020,111.89,8.94,0.00,shipped
1021,59.37,3.16,0.00,delivered
1022,173.76,9.02,0.00,cancelled
1023,206.38,16.33,0.00,shipped
1024,264.82,18.66,0.00,shipped
1025,240.49,12.83,0.00,delivered
1026,335.91,25.62,7.51,shipped
1027,323.35,24.61,9.58,delivered
1028,91.62,6.68,0.00,delivered
1029,206.76,10.34,0.00,shipped
1030,328.38,25.08,0.00,shipped
1031,62.67,4.78,0.00,shipped
1032,193.23,10.06,0.00,delivered
1033,84.16,5.41,0.00,shipped
1034,311.09,19.50,8.09,delivered
1035,106.35,6.31,0.00,delivered
1036,178.62,11.70,3.37,shipped
1037,224.43,12.77,1.06,delivered
1038,114.83,8.86,0.00,shipped
1039,117.59,8.24,1.98,refunded
1040,219.17,14.07,0.00,delivered
1041,103.08,5.45,0.00,delivered
1042,187.44,13.47,0.00,cancelled
1043,75.02,4.66,0.00,pending
1044,120.84,6.73,0.00,delivered
1045,129.96,7.47,0.00,delivered
1046,307.71,20.47,14.99,delivered
1047,340.54,26.49,0.00,shipped
1048,193.12,10.89,0.00,shipped
1049,160.59,12.78,11.76,delivered
1050,174.02,13.70,0.00,delivered
1051,264.11,14.43,14.53,delivered
1052,210.37,15.24,8.76,delivered
1053,305.08,16.69,0.00,shipped
1054,101.68,6.90,0.00,shipped
1055,81.57,6.26,8.92,delivered
1056,172.86,11.67,0.00,refunded
1057,107.30,7.67,5.94,delivered
1058,136.50,8.12,0.00,shipped
1059,184.78,14.77,0.00,shipped
1060,110.01,6.38,0.00,pending
1061,313.18,19.13,12.51,delivered
1062,231.56,18.44,0.00,shipped
1063,294.22,17.35,0.00,refunded
1064,85.96,4.60,8.30,shipped
1065,229.47,16.41,9.51,shipped
1066,194.00,14.97,0.00,shipped
1067,174.19,10.16,11.57,delivered
1068,124.90,9.02,0.00,delivered
1069,47.95,2.51,0.00,refunded
1070,211.41,15.86,0.00,shipped
1071,83.87,4.97,0.00,delivered
1072,307.51,23.67,3.74,shipped
1073,282.94,21.65,0.00,delivered
1074,92.14,7.18,0.00,cancelled
1075,292.29,22.34,11.05,shipped
1076,328.90,24.36,0.00,delivered
1077,126.38,9.30,13.08,pending
1078,112.84,8.41,0.00,shipped
1079,287.58,16.34,2.90,shipped
1080,308.63,24.38,9.62,delivered
1081,344.25,22.75,0.00,shipped
1082,340.97,18.88,0.00,shipped
1083,78.06,4.92,0.00,shipped
1084,229.89,15.02,0.00,delivered
1085,122.69,8.74,13.88,delivered
1086,264.43,19.11,0.00,delivered
1087,66.34,4.64,0.00,shipped
1088,303.64,21.74,0.00,shipped
1089,169.56,10.52,1.91,delivered
1090,331.81,23.33,0.00,delivered
1091,136.79,9.09,4.30,delivered
1092,221.90,15.45,0.00,delivered
1093,110.18,7.07,0.00,delivered
1094,96.76,5.08,0.00,delivered
1095,147.23,10.98,0.00,delivered
1096,113.52,6.35,3.67,delivered
1097,304.17,15.87,0.00,delivered
1098,104.30,7.39,0.00,shipped
1099,245.10,12.30,0.00,delivered
1100,77.51,4.86,14.37,delivered
